"MANICALAND PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS:30 JULY  2018 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,5 POLLING STATIONS,Ward Total,4,802,2,0,1,1,2,9,3,1,0,0,0,2,1096,7,0,6,5,4,1,1,3,24,0,1974,1950
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimanimani,Chimanimani West,Chimanimani RDC,18,Biriiri Hospital Boardroom,4400CHM1801,1,82,2,0,0,0,1,0,1,0,0,0,0,0,84,0,0,1,0,0,0,1,0,4,0,177,173
Chimanimani,Chimanimani West,Chimanimani RDC,18,Kwaedza House Tent,4400CHM1802,0,71,0,0,0,0,1,0,0,0,0,1,0,0,123,0,0,0,1,1,0,2,0,1,0,201,200
Chimanimani,Chimanimani West,Chimanimani RDC,18,Mhakwe Dam Business Centre Tent,4400CHM1803,0,86,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,1,1,0,190,189
Chimanimani,Chimanimani West,Chimanimani RDC,18,Mhakwe Primary School,4400CHM1804,4,257,0,0,3,0,0,11,0,0,0,0,0,0,148,0,0,1,0,0,0,0,0,4,0,428,424
,,,,4 POLLING STATIONS,Ward Total,5,496,2,0,3,0,2,11,1,0,0,1,0,0,457,0,0,2,1,1,0,3,1,10,0,996,986
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimanimani,Chimanimani West,Chimanimani RDC,19,Chikwakwa Primary School,4400CHM1901,1,204,0,0,0,0,0,7,0,0,0,0,0,0,241,3,1,1,0,0,0,1,0,6,0,465,459
Chimanimani,Chimanimani West,Chimanimani RDC,19,Chikwizi Primary School,4400CHM1902,0,99,0,0,0,0,1,2,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,1,0,155,154
Chimanimani,Chimanimani West,Chimanimani RDC,19,Gazaland/Ruchiyo Business Centre Tent,4400CHM1903,0,29,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,122,122
Chimanimani,Chimanimani West,Chimanimani RDC,19,Makandwa Primary School,4400CHM1904,1,44,0,0,0,1,0,2,0,0,0,0,0,0,94,0,0,0,0,0,1,0,0,2,0,145,143
Chimanimani,Chimanimani West,Chimanimani RDC,19,Mataa Primary School,4400CHM1905,0,58,1,0,0,0,0,1,0,0,0,1,0,0,73,0,0,0,0,0,0,0,0,1,0,135,134
Chimanimani,Chimanimani West,Chimanimani RDC,19,Ndapetwa Primary School,4400CHM1906,1,72,0,0,0,0,0,2,0,0,0,0,0,0,127,0,0,0,0,1,1,0,0,1,0,205,204
,,,,6 POLLING STATIONS,Ward Total,3,506,1,0,0,1,1,14,0,0,0,1,0,1,679,3,1,1,0,1,2,1,0,11,0,1227,1216
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimanimani,Chimanimani West,Chimanimani RDC,20,Changazi Primary School,4400CHM2001,0,193,2,0,2,0,1,6,1,0,0,0,0,0,190,1,0,0,2,0,0,0,0,6,0,404,398
Chimanimani,Chimanimani West,Chimanimani RDC,20,Gudyanga Primary School,4400CHM2002,1,514,5,0,4,1,0,4,1,2,0,0,1,0,254,4,0,1,1,0,0,1,0,11,0,805,794
Chimanimani,Chimanimani West,Chimanimani RDC,20,Gudyanga Secondary School,4400CHM2003,0,63,0,0,1,0,0,0,0,0,0,0,0,0,139,1,0,1,0,0,0,0,0,2,0,207,205
Chimanimani,Chimanimani West,Chimanimani RDC,20,Muuyu Tent,4400CHM2004,0,69,0,0,0,1,0,2,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,7,0,136,129
Chimanimani,Chimanimani West,Chimanimani RDC,20,Tonhorai Primary School,4400CHM2005,3,453,2,0,0,0,0,12,1,0,0,1,0,1,152,6,1,0,2,0,2,2,0,13,0,651,638
,,,,5 POLLING STATIONS,Ward Total,4,1292,9,0,7,2,1,24,3,2,0,1,1,1,792,12,1,2,5,0,2,3,0,39,0,2203,2164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CHIMANIMANI WEST CONSTITUENCY TOTALS,,,50,9260,36,3,21,30,21,150,9,8,4,7,7,30,10621,76,10,30,26,14,14,21,12,209,0,20669,20460
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge Central,Chipinge Town Council,1,Tariro Creche Tent A,1301CTC0101 A,1,342,0,0,0,0,0,1,0,1,0,0,0,1,141,0,1,1,4,1,0,0,0,4,0,498,494
Chipinge,Chipinge Central,Chipinge Town Council,1,Tariro Creche Tent B,1301CTC0101 B,0,353,1,0,0,1,0,3,1,0,0,0,0,0,147,1,0,0,1,0,0,1,0,4,0,513,509
,,,,2 POLLING STATIONS,WARD TOTAL ,1,695,1,0,0,1,0,4,1,1,0,0,0,1,288,1,1,1,5,1,0,1,0,8,0,1011,1003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge Central,Chipinge Town Council,2,Gaza O A Primary School A,1301CTC0201 A,0,558,1,0,0,1,0,4,1,0,0,0,0,0,205,0,0,1,0,1,0,0,1,8,0,781,773
Chipinge,Chipinge Central,Chipinge Town Council,2,Gaza O A Primary School B,1301CTC0201 B,1,504,0,0,1,0,0,4,2,0,0,0,0,0,228,0,0,1,1,2,0,1,0,3,0,748,745
,,,,2 POLLING STATIONS,WARD TOTAL ,1,1062,1,0,1,1,0,8,3,0,0,0,0,0,433,0,0,2,1,3,0,1,1,11,0,1529,1518
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge Central,Chipinge Town Council,3,Gaza O B Primary School A,1301CTC0301 A,0,323,0,0,0,0,1,1,1,0,0,0,1,0,198,0,0,1,2,1,0,0,0,2,0,531,529
Chipinge,Chipinge Central,Chipinge Town Council,3,Gaza O B Primary School B,1301CTC0301 B,0,334,0,0,0,0,0,2,1,0,0,0,0,0,185,0,2,1,0,0,0,1,0,6,0,532,526
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2 POLLING STATIONS,WARD TOTAL ,0,657,0,0,0,0,1,3,2,0,0,0,1,0,383,0,2,2,2,1,0,1,0,8,0,1063,1055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge Central,Chipinge Town Council,4,Matione Primary School A,1301CTC0401 A,1,361,0,0,0,0,1,1,1,0,0,0,0,0,177,2,0,2,0,0,0,1,1,5,0,553,548
Chipinge,Chipinge Central,Chipinge Town Council,4,Matione Primary School B,1301CTC0401 B,2,371,0,0,0,0,0,1,1,0,0,0,0,0,187,1,0,0,0,0,0,0,0,3,0,566,563
,,,,2 POLLING STATIONS,WARD TOTAL ,3,732,0,0,0,0,1,2,2,0,0,0,0,0,364,3,0,2,0,0,0,1,1,8,0,1119,1111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge Central,Chipinge Town Council,5,Gaza Community Hall A,1301CTC0501 A,0,257,2,0,1,0,0,1,2,0,0,0,0,1,170,1,0,0,0,0,0,0,0,2,0,437,435
Chipinge,Chipinge Central,Chipinge Town Council,5,Gaza Community Hall B,1301CTC0501 B,0,249,0,0,0,1,0,0,0,0,0,0,1,0,181,0,0,1,0,0,0,0,0,3,0,436,433
,,,,2 POLLING STATIONS,WARD TOTAL ,0,506,2,0,1,1,0,1,2,0,0,0,1,1,351,1,0,1,0,0,0,0,0,5,0,873,868
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge Central,Chipinge Town Council,6,Gaza Primary School A,1301CTC0601 A,2,348,1,0,0,0,0,4,1,1,0,0,0,0,230,0,1,0,1,2,1,0,1,1,0,594,593
Chipinge,Chipinge Central,Chipinge Town Council,6,Gaza Primary School B,1301CTC0601 B,2,354,0,0,0,1,0,1,3,0,0,0,0,1,197,1,0,2,2,0,0,0,0,8,0,572,564
,,,,2 POLLING STATIONS,WARD TOTAL ,4,702,1,0,0,1,0,5,4,1,0,0,0,1,427,1,1,2,3,2,1,0,1,9,0,1166,1157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge Central,Chipinge Town Council,7,Chipinge Primary School,1301CTC0701,0,296,0,0,0,0,0,0,0,1,0,0,0,0,249,1,0,0,1,0,0,0,0,4,0,552,548
Chipinge,Chipinge Central,Chipinge Town Council,7,Madziwa Primary School,1301CTC0702,3,91,0,0,0,1,0,0,0,0,0,0,0,0,101,0,0,0,1,0,0,0,0,3,0,200,197
Chipinge,Chipinge Central,Chipinge Town Council,7,Medium Density Shopping Centre Tent A,1301CTC0703 A,2,394,0,0,0,0,1,0,3,0,0,0,0,0,202,1,0,0,3,0,0,0,0,7,0,613,606
Chipinge,Chipinge Central,Chipinge Town Council,7,Medium Density Shopping Centre Tent B,1301CTC0703 B,1,409,0,0,0,0,1,3,0,0,0,0,0,0,209,2,0,1,0,0,0,0,0,7,0,633,626
,,,,4 POLLING STATIONS,WARD TOTAL ,6,1190,0,0,0,1,2,3,3,1,0,0,0,0,761,4,0,1,5,0,0,0,0,21,0,1998,1977
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge Central,Chipinge Town Council,8,Eastern Highveld Farm Tent,1301CTC0801,0,32,0,0,0,0,0,0,1,1,0,0,0,0,283,0,0,0,0,0,0,0,0,9,0,326,317
Chipinge,Chipinge Central,Chipinge Town Council,8,Ebenezzar Creche Tent A,1301CTC0802 A,2,307,1,0,0,0,0,0,2,0,0,0,0,0,126,4,0,0,1,0,0,1,0,8,0,452,444
Chipinge,Chipinge Central,Chipinge Town Council,8,Ebenezzar Creche Tent B,1301CTC0802 B,1,308,1,0,0,0,0,0,0,1,2,0,0,0,142,0,0,0,0,0,0,0,0,9,0,464,455
Chipinge,Chipinge Central,Chipinge Town Council,8,Makocheredze Primary School,1301CTC0803,1,328,0,0,0,0,1,4,0,0,0,0,0,0,158,0,0,1,0,1,0,0,0,13,0,507,494
Chipinge,Chipinge Central,Chipinge Town Council,8,St Kelvin Open Space Tent,1301CTC0804,0,169,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,6,0,270,264
,,,,5 POLLING STATIONS,WARD TOTAL ,4,1144,2,0,0,0,1,4,3,2,2,0,0,0,804,4,0,1,1,1,0,1,0,45,0,2019,1974
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge Central,Chipinge RDC,6,Rutengeni Primary School,1300CPG0601,1,62,1,0,0,0,0,2,0,0,0,1,0,0,267,1,0,0,3,0,0,0,0,2,0,340,338
Chipinge,Chipinge Central,Chipinge RDC,6,Christina Primary School,1300CPG0602,2,127,0,0,0,2,0,1,0,0,0,0,0,0,436,3,0,2,7,1,0,0,0,12,0,593,581
Chipinge,Chipinge Central,Chipinge RDC,6,Glen view Tent,1300CPG0603,3,136,5,0,0,0,0,5,1,0,0,0,0,0,409,3,1,4,0,0,1,1,3,7,0,579,572
Chipinge,Chipinge Central,Chipinge RDC,6,Makande/Joppa Tent,1300CPG0604,6,173,2,0,0,1,0,5,0,0,1,0,0,2,356,3,0,0,1,0,0,1,2,30,0,583,553
Chipinge,Chipinge Central,Chipinge RDC,6,Mooiplaats C (Mbire) Primary School,1300CPG0605,3,71,4,1,0,0,1,2,3,0,1,0,0,3,552,1,2,0,2,1,1,2,0,15,0,665,650
Chipinge,Chipinge Central,Chipinge RDC,6,Mooiplaats A Primary School,1300CPG0606,3,76,1,0,0,2,0,2,0,0,0,0,0,1,180,0,0,0,1,0,1,1,3,9,0,280,271
Chipinge,Chipinge Central,Chipinge RDC,6,Singizi Primary School,1300CPG0607,0,44,1,0,0,0,2,1,0,0,0,0,0,1,388,0,0,0,0,1,1,0,0,11,0,450,439
Chipinge,Chipinge Central,Chipinge RDC,6,New Years Gift Primary School,1300CPG0608,3,178,0,0,0,1,0,4,1,1,0,0,0,0,95,2,1,1,1,0,2,0,3,4,0,297,293
Chipinge,Chipinge Central,Chipinge RDC,6,Sterksrom Secondary School,1300CPG0609,3,65,0,0,0,1,1,1,1,2,0,0,0,0,549,1,0,2,3,1,0,0,2,23,0,655,632
,,,, 9 POLLING STATIONS,WARD TOTAL ,24,932,14,1,0,7,4,23,6,3,2,1,0,7,3232,14,4,9,18,4,6,5,13,113,0,4442,4329
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge Central,Chipinge RDC,7,Clearwater Primary School A,1300CPG0701 A,7,226,7,0,1,4,1,9,1,1,1,1,0,1,487,4,0,1,1,0,0,1,2,26,0,782,756
Chipinge,Chipinge Central,Chipinge RDC,7,Clearwater Primary School B,1300CPG0701 B,6,204,6,1,1,2,1,7,3,1,1,0,1,0,529,4,1,0,5,0,0,0,2,12,0,787,775
Chipinge,Chipinge Central,Chipinge RDC,7,Chivunze Primary School,1300CPG0702,2,61,1,1,0,0,0,2,1,0,0,0,0,0,284,1,0,1,0,0,1,0,0,0,0,355,355
Chipinge,Chipinge Central,Chipinge RDC,7,Wedgehill Farm Shed,1300CPG0703,6,36,4,0,0,1,0,0,0,0,0,0,0,0,402,0,1,0,3,1,0,0,1,3,0,458,455
,,,, 4 POLLING STATIONS,WARD TOTAL ,21,527,18,2,2,7,2,18,5,2,2,1,1,1,1702,9,2,2,9,1,1,1,5,41,0,2382,2341
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge Central,Chipinge RDC,8,Chivhunze Business Centre Tent,1300CPG0801,1,53,0,0,1,1,1,3,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,10,0,509,499
Chipinge,Chipinge Central,Chipinge RDC,8,Mugiyo (Vermont A & B) Primary School,1300CPG0802,0,24,0,0,0,0,0,1,0,0,0,0,1,1,414,0,0,0,0,0,0,0,0,4,0,445,441
Chipinge,Chipinge Central,Chipinge RDC,8,Junction Gate B (Simudza) Primary School,1300CPG0803,3,64,1,0,1,2,2,0,0,0,0,0,0,0,547,1,1,1,0,1,0,0,1,4,0,629,625
Chipinge,Chipinge Central,Chipinge RDC,8,Junction Gate A Primary School,1300CPG0804,1,216,3,1,1,1,1,3,0,0,0,0,0,0,428,1,0,1,2,1,0,0,0,5,0,665,660
Chipinge,Chipinge Central,Chipinge RDC,8,Rattleshoek Primary School A,1300CPG0805 A,3,138,0,0,0,1,0,2,0,0,0,0,0,1,304,1,1,0,3,0,0,0,1,4,0,459,455
Chipinge,Chipinge Central,Chipinge RDC,8,Rattleshoek Primary School B,1300CPG0805 B,2,102,4,0,0,1,4,4,0,0,1,0,1,1,332,0,0,0,1,1,0,0,0,8,0,462,454
Chipinge,Chipinge Central,Chipinge RDC,8,Shakavanhu Primary School,1300CPG0806,0,227,3,0,0,4,1,5,2,0,0,0,0,0,222,3,0,2,2,0,1,0,0,14,0,486,472
,,,, 7 POLLING STATIONS,WARD TOTAL ,10,824,11,1,3,10,9,18,2,0,1,0,2,3,2686,6,2,4,8,3,1,0,2,49,0,3655,3606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge Central,Chipinge RDC,9,Mafumise Primary School,1300CPG0901,3,134,4,1,1,4,1,4,0,1,1,2,0,0,303,2,0,0,2,2,0,1,0,5,0,471,466
Chipinge,Chipinge Central,Chipinge RDC,9,Ndiyadzo Primary School,1300CPG0902,2,74,0,0,1,3,0,0,1,1,0,1,0,0,444,0,0,0,0,1,0,0,0,12,1,540,528
Chipinge,Chipinge Central,Chipinge RDC,9,Paidamoyo B (Maundwa) Primary School,1300CPG0903,0,118,2,0,0,1,0,1,1,0,0,0,0,0,275,1,1,1,0,0,0,0,0,1,0,402,401
Chipinge,Chipinge Central,Chipinge RDC,9,Rusitu Valley (Maundwa) Primary School,1300CPG0904,0,92,3,0,0,1,0,2,0,0,0,0,0,0,428,0,0,0,1,0,0,0,0,17,0,544,527
,,,, 4 POLLING STATIONS,WARD TOTAL ,5,418,9,1,2,9,1,7,2,2,1,3,0,0,1450,3,1,1,3,3,0,1,0,35,1,1957,1922
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge Central,Chipinge RDC,10,Chivhunze Secondary School,1300CPG1001,1,168,2,0,0,0,1,0,2,0,0,0,0,0,370,0,0,0,0,0,0,0,1,7,0,552,545
Chipinge,Chipinge Central,Chipinge RDC,10,Chivunze B(Heiland) Primary School,1300CPG1002,,33,1,0,0,1,0,1,0,0,0,0,1,2,262,0,0,0,1,0,0,0,1,7,0,310,303
Chipinge,Chipinge Central,Chipinge RDC,10,DinglyDell Creche Tent,1300CPG1003,2,21,0,1,0,0,0,1,0,0,0,0,0,0,243,1,0,0,0,0,0,0,0,6,0,275,269
Chipinge,Chipinge Central,Chipinge RDC,10,Heartbeast Neck Diptank Tent,1300CPG1004,1,39,1,0,1,1,1,0,2,0,1,0,0,1,277,1,0,0,1,0,1,0,0,7,0,335,328
,,,, 4 POLLING STATIONS,WARD TOTAL ,4,261,4,1,1,2,2,2,4,0,1,0,1,3,1152,2,0,0,2,0,1,0,2,27,0,1472,1445
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge Central,Chipinge RDC,11,Glendlough Village C Creche Tent,1300CPG1101,0,39,1,0,0,1,0,0,0,1,0,0,0,0,256,0,0,0,1,0,0,0,1,7,0,307,300
Chipinge,Chipinge Central,Chipinge RDC,11,Madziwa Secondary School,1300CPG1102,0,101,1,0,0,0,2,0,0,0,0,0,0,1,421,0,0,0,2,1,0,1,0,11,0,541,530
Chipinge,Chipinge Central,Chipinge RDC,11,Tunner Tent,1300CPG1103,0,16,1,0,0,1,0,0,0,0,0,0,0,0,104,1,1,0,0,0,0,0,1,1,0,126,125
,,,, 3 POLLING STATIONS,WARD TOTAL ,0,156,3,0,0,2,2,0,0,1,0,0,0,1,781,1,1,0,3,1,0,1,2,19,0,974,955
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CHIPINGE CENTRAL CONSTITUENCY TOTALS,,,83,9806,66,6,10,42,25,98,39,13,9,5,6,18,14814,49,14,28,60,20,10,13,27,399,1,25660,25261
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge East,Chipinge RDC,12,Chiriga B Redwood Primary School,1300CPG1201,0,37,1,0,0,2,0,2,0,1,0,0,0,1,168,2,0,0,3,0,0,0,0,1,0,218,217
Chipinge,Chipinge East,Chipinge RDC,12,Chiriga Primary School,1300CPG1202,1,57,0,0,0,0,1,1,0,0,0,0,0,0,184,1,1,0,0,0,0,0,1,3,0,250,247
Chipinge,Chipinge East,Chipinge RDC,12,Horasi Farm Tent,1300CPG1203,2,85,1,0,0,2,0,5,0,0,0,0,1,0,175,1,0,0,1,0,0,0,0,3,0,276,273
Chipinge,Chipinge East,Chipinge RDC,12,Munoirirwa B Holland Primary School,1300CPG1204,2,119,3,0,0,3,1,3,1,0,0,1,0,2,502,2,0,2,8,1,0,0,1,9,0,660,651
Chipinge,Chipinge East,Chipinge RDC,12,Tashinga Primary School,1300CPG1205,0,34,1,0,0,1,1,0,0,1,0,0,0,0,245,1,0,0,1,1,0,0,0,4,0,290,286
,,,,5 POLLING STATIONS,WARD TOTAL ,5,332,6,0,0,8,3,11,1,2,0,1,1,3,1274,7,1,2,13,2,0,0,2,20,0,1694,1674
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge East,Chipinge RDC,13,Chingoma Compound Tent,1300CPG1301,0,81,0,0,0,4,1,3,1,1,2,0,0,1,490,4,0,0,2,1,0,0,1,9,0,601,592
Chipinge,Chipinge East,Chipinge RDC,13,Greenvalley Secondary School,1300CPG1302,2,89,4,1,1,2,0,6,0,0,1,0,0,1,516,0,1,1,6,1,1,0,0,9,0,642,633
Chipinge,Chipinge East,Chipinge RDC,13,Grassflats Primary School,1300CPG1303,2,161,4,1,1,10,5,11,1,0,2,1,1,1,570,4,2,3,1,0,3,0,1,21,0,806,785
Chipinge,Chipinge East,Chipinge RDC,13,Mapote Primary School A,1300CPG1304 A,4,74,3,0,0,2,0,6,0,1,0,0,0,1,348,4,1,0,3,1,0,0,2,19,0,469,450
Chipinge,Chipinge East,Chipinge RDC,13,Mapote Primary School B,1300CPG1304 B,6,73,6,0,0,1,2,2,0,0,0,0,0,2,347,1,1,2,0,2,0,0,0,12,0,457,445
,,,,5 POLLING STATIONS,WARD TOTAL ,14,478,17,2,2,19,8,28,2,2,5,1,1,6,2271,13,5,6,12,5,4,0,4,70,0,2975,2905
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge East,Chipinge RDC,14,Mapungwana Primary School,1300CPG1401,1,286,5,0,1,5,0,10,0,0,1,0,1,1,197,7,1,3,9,0,0,1,0,15,0,544,529
Chipinge,Chipinge East,Chipinge RDC,14,Chagonda Village Open Space Tent,1300CPG1402,2,130,0,1,0,0,0,7,1,0,0,1,1,0,49,4,0,0,7,0,0,0,1,17,0,221,204
Chipinge,Chipinge East,Chipinge RDC,14,Nyamadzi Primary School,1300CPG1403,3,80,0,0,0,1,0,10,1,0,0,0,0,0,113,2,1,0,0,0,1,0,0,3,0,215,212
Chipinge,Chipinge East,Chipinge RDC,14,Tamandai Primary School,1300CPG1404,16,391,4,1,0,1,2,25,0,0,1,0,1,1,142,9,3,0,2,1,2,1,1,16,0,620,604
,,,,4 POLLING STATIONS,WARD TOTAL ,22,887,9,2,1,7,2,52,2,0,2,1,3,2,501,22,5,3,18,1,3,2,2,51,0,1600,1549
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge East,Chipinge RDC,15,Gwenzi Primary School,1300CPG1501,1,177,4,0,0,0,1,6,0,0,0,1,0,0,52,5,0,1,0,0,3,1,2,9,0,263,254
Chipinge,Chipinge East,Chipinge RDC,15,Mugondi Primary School,1300CPG1502,1,201,0,0,1,1,0,5,1,0,0,0,0,1,160,3,0,0,1,1,0,1,2,6,0,385,379
Chipinge,Chipinge East,Chipinge RDC,15,Mundanda Primary School,1300CPG1503,4,534,3,1,2,3,4,20,0,1,0,1,0,0,119,4,2,2,1,1,1,0,1,27,0,731,704
Chipinge,Chipinge East,Chipinge RDC,15,Musunganyemba Compound Tent,1300CPG1504,6,222,2,0,0,3,1,12,0,1,0,0,1,2,178,3,1,1,6,0,0,1,2,19,0,461,442
Chipinge,Chipinge East,Chipinge RDC,15,Mzite Primary School,1300CPG1505,3,341,4,0,0,0,0,18,0,0,0,0,0,2,140,5,0,0,3,0,0,1,1,14,0,532,518
,,,,5 POLLING STATIONS,WARD TOTAL ,15,1475,13,1,3,7,6,61,1,2,0,2,1,5,649,20,3,4,11,2,4,4,8,75,0,2372,2297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge East,Chipinge RDC,17,Bangira Primary School,1300CPG1701,1,142,0,0,1,0,0,0,0,0,0,0,0,0,82,2,0,0,0,0,0,0,0,4,0,232,228
Chipinge,Chipinge East,Chipinge RDC,17,Chikore Mission Hall,1300CPG1702,1,224,0,0,1,4,0,10,0,0,0,0,0,0,139,3,1,0,4,1,0,0,0,9,0,397,388
Chipinge,Chipinge East,Chipinge RDC,17,Chinaa High School,1300CPG1703,3,309,3,1,1,1,1,14,1,0,0,1,0,3,197,5,2,2,5,0,0,3,1,7,0,560,553
Chipinge,Chipinge East,Chipinge RDC,17,Munoirirwa Primary School A,1300CPG1704 A,2,294,7,0,0,2,1,6,0,0,0,0,0,0,259,0,0,2,3,1,0,0,1,13,0,591,578
Chipinge,Chipinge East,Chipinge RDC,17,Munoirirwa Primary School B,1300CPG1704 B,1,296,1,0,0,2,0,11,0,0,0,0,0,0,244,5,0,1,0,0,0,0,0,8,0,569,561
Chipinge,Chipinge East,Chipinge RDC,17,Nyagadza Primary School,1300CPG1705,1,110,7,0,0,1,0,9,0,0,1,0,0,0,229,5,0,0,3,0,0,0,1,3,0,370,367
Chipinge,Chipinge East,Chipinge RDC,17,Nyagadza Business Centre Tent,1300CPG1706,2,101,4,1,0,1,0,3,1,0,0,0,0,0,104,0,0,0,0,0,0,0,0,9,0,226,217
Chipinge,Chipinge East,Chipinge RDC,17,Nyaututu Meeting Centre Tent,1300CPG1707,0,15,1,0,0,1,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,1,0,0,0,78,78
Chipinge,Chipinge East,Chipinge RDC,17,Rebai Primary School,1300CPG1708,1,140,3,0,1,0,0,12,0,0,0,0,0,1,90,2,0,1,1,0,0,0,1,7,0,260,253
Chipinge,Chipinge East,Chipinge RDC,17,Shekwa Primary School,1300CPG1709,11,307,0,0,1,0,0,8,5,1,1,0,0,1,155,7,0,2,5,2,3,1,2,15,0,527,512
,,,,10 POLLING STATIONS,WARD TOTAL ,23,1938,26,2,5,12,2,73,7,1,2,1,0,5,1559,29,3,8,21,4,3,5,6,75,0,3810,3735
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipinge,Chipinge East,Chipinge RDC,18,Mabaya Business Centre Tent,1300CPG1801,8,192,2,1,0,1,1,4,0,0,0,0,0,0,68,15,0,1,12,0,0,1,0,6,0,312,306
Chipinge,Chipinge East,Chipinge RDC,18,Musiriswi Primary School A,1300CPG1802 A,1,195,1,0,0,0,0,5,0,0,0,0,0,0,230,1,1,0,10,1,0,0,2,3,0,450,447
Chipinge,Chipinge East,Chipinge RDC,18,Musiriswi Primary School B,1300CPG1802 B,4,184,1,0,1,2,0,4,0,0,0,0,0,2,227,1,0,1,5,0,1,0,0,7,0,440,433
Chipinge,Chipinge East,Chipinge RDC,18,Tafara Primary School A,1300CPG1803 A,0,240,3,0,0,2,0,3,0,1,2,1,1,2,178,6,0,1,2,0,0,0,0,10,0,452,442
Chipinge,Chipinge East,Chipinge RDC,18,Tafara Primary School B,1300CPG1803 B,4,274,5,0,0,1,1,10,1,0,0,0,1,1,159,0,2,2,5,0,0,2,0,8,0,476,468
Chipinge,Chipinge East,Chipinge RDC,18,Tazviona Primary School,1300CPG1804,5,273,4,0,2,3,0,13,1,0,1,1,1,2,324,5,0,1,1,2,1,1,3,19,0,663,644
